"beta","gamma2","sigma2","n_clusters","R_per_cluster","ratio","replication","estimated_beta","lower_confint","upper_confint"
1,1,1,10,10,"10:1",2,0.0324242567921099,-0.975581632375805,1.04043020537204
1,1,1,10,10,"10:1",3,2.33404267650439,1.35822535824725,3.30986005135269
1,1,1,10,10,"10:1",4,0.483433489716736,-0.508599932821707,1.47546696978697
1,1,1,10,10,"10:1",5,1.73898956487197,0.711982696584442,2.76599649271129
1,1,1,10,10,"10:1",6,1.91026195305199,0.37933248518295,3.44119150970497
1,1,1,10,10,"10:1",7,1.13326708768338,-0.110463965899824,2.37699821339501
1,1,1,10,10,"10:1",8,1.60311556585989,-0.379000903241498,3.5852321499116
1,1,1,10,10,"10:1",9,0.785905692349516,0.082803097485629,1.48900832798907
1,1,1,10,10,"10:1",10,1.0315619452217,0.4428045690755,1.62031935551217
1,1,1,5,30,"10:1",1,1.54739838439745,0.680711123742506,2.41408624763481
1,1,1,5,30,"10:1",2,1.78259659912683,-0.615700427855435,4.18089529373908
1,1,1,5,30,"10:1",3,NA,NA,NA
1,1,1,5,30,"10:1",4,0.0978483365123249,-0.973000532596952,1.16869795032933
1,1,1,5,30,"10:1",5,0.317484978479902,-0.949225810252199,1.58419664799991
1,1,1,5,30,"10:1",6,1.14207725017639,-1.06955194041435,3.3537079786033
1,1,1,5,30,"10:1",7,2.44487004874931,0.884590752406288,4.0051504289088
1,1,1,5,30,"10:1",8,1.56227416483339,0.621296124778426,2.50325285928249
1,1,1,5,30,"10:1",9,0.1395763549225,-1.84859308431213,2.12774717661187
1,1,1,5,30,"10:1",10,0.492894805703125,-1.89304036715686,2.87883163759784
